Name,Cost,Quantity,Type,Peelable,Pitable,Needs Washed
Orange,0.5,4,FRUIT,TRUE,,
Apple,0.25,8,FRUIT,,TRUE,
Pineapple,0.75,5,FRUIT,TRUE,TRUE,
Banana,0.1,9,FRUIT,TRUE,,
Strawberry,0.4,9,FRUIT,,,TRUE
Mango,1,9,FRUIT,TRUE,TRUE,
Guava,1,5,FRUIT,TRUE,TRUE,
Passion Fruit,1.1,5,FRUIT,TRUE,,
Pomegranate,0.9,7,FRUIT,TRUE,,
Watermelon,0.1,5,FRUIT,TRUE,,
Acai,1.05,8,FRUIT,,,TRUE
Blueberry,0.2,9,FRUIT,,,TRUE
Carrot,0.35,2,VEGETABLE,TRUE,,
Celery,0.05,2,VEGETABLE,,,TRUE
Tomato,0.25,3,VEGETABLE,,,TRUE
Radish,0.02,2,VEGETABLE,,,TRUE
Kale,0.6,3,VEGETABLE,,,TRUE
Spinach,0.2,4,VEGETABLE,,,TRUE
Ice,0,9,MISC,,,
Water,0,9,BASE,,,
Milk,0.1,8,BASE,,,
Yogurt,0.1,9,BASE,,,
